"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
"119",48,0,0,87978,0,0,0,0,2186,0,0,0,0,0,12088,0,0,0,0,0,0,0,4118,115310,0,0,0,0,0,0,0,0,410,0,75245.9999999999
"120",8676,15356,0,0,0,0,0,0,0,9948.00000000001,0,0,0,0,0,0,1560,0,70,0,0,0,10904,0,0,9290,0,0,0,2164,0,0,0,0,0
"121",0,0,0,0,0,21480,0,0,0,56316,0,0,204206,0,0,0,0,4366,0,0,76236,0,0,0,334216,0,203184,0,0,0,0,0,0,0,0
"122",0,0,0,0,124368,0,623166,0,0,0,0,0,197164,247520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241678,0,0,0,244832,0
"123",373802,79766,454806,515342,0,0,24900,109428,4052,3116,842002,1094358,427760,483338,0,77832.0000000001,243630,3038,79380,1059622,448790,0,1093154,0,64580,0,477486,94864,55856,1104782,3392,53020,443912,82677.9999999999,1778
"124",0,0,0,97668.0000000001,32976,0,0,0,0,0,0,0,86422.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",0,0,0,6214,0,0,0,0,0,0,19870,0,0,0,0,0,0,36958,0,0,0,0,0,0,0,0,0,0,0,0,796,776,0,0,0
"126",0,786,0,0,0,0,0,0,0,0,0,816,0,0,0,0,0,0,0,0,1698,340,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",0,0,56106,0,0,0,4332,0,125816,0,0,0,0,0,25788,0,0,0,0,130836,0,546100,0,0,0,0,0,4870,0,0,61996,0,0,0,0
"128",0,104772,0,0,0,0,664,0,6272,0,5112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"129",0,1548,102,0,200,0,0,2970,0,2204,0,0,0,750,2134,0,0,0,0,0,0,0,50,0,0,0,0,0,2672,0,0,0,0,0,0
"130",0,0,0,8384,0,0,0,5720,344,0,0,0,1608,5972,0,2212,0,0,0,8192,0,0,0,0,0,0,0,6198,0,0,2222,0,0,0,0
"131",7518,417400,0,1338,0,0,8952,0,0,810,0,31196,4206,0,0,0,0,6376,0,7676,0,0,128756,0,6838,0,4790,34234,0,8152,200,4960,6438,7834,0
